Umbral,Accuracy,Precision,Recall,F1_Score
0.1,0.39675,0.39675,1.0,0.568104528369429
0.15,0.40475,0.39964610717896865,0.996219281663516,0.5704492152264117
0.2,0.46275,0.4227172717271727,0.9684940138626339,0.588550641393835
0.25,0.5215,0.4493337465137899,0.9136735979836169,0.6024096385542169
0.3,0.568,0.4746494066882416,0.831758034026465,0.6043956043956044
0.35,0.613,0.5083870967741936,0.7448015122873346,0.6042944785276073
0.4,0.63825,0.5375939849624061,0.6307498424700693,0.5804581037982024
0.45,0.64925,0.5648801128349789,0.504725897920605,0.5331114808652246
0.5,0.657,0.6061204343534057,0.3868935097668557,0.4723076923076923
0.55,0.65075,0.634180790960452,0.2829237555135476,0.39128540305010895
0.6,0.64075,0.6630434782608695,0.19218651543793322,0.2979970688812897
0.65,0.63175,0.7065217391304348,0.12287334593572778,0.20933977455716588
0.7,0.6195,0.751937984496124,0.06112161310649023,0.11305361305361306
0.75,0.606,0.6666666666666666,0.013862633900441084,0.027160493827160494
0.8,0.60425,0.8333333333333334,0.00315059861373661,0.006277463904582548
